sku,shape,carat,color,clarity,cut,price_usd,title,certificate,description
RD-10234,Round,1.51,D,VVS1,Excellent,28450,"The Aurelia Round Brilliant",GIA,"A masterfully cut round brilliant diamond with exceptional fire and scintillation. Its D color grade places it among the rarest and most colorless stones in existence, while VVS1 clarity ensures a face-up appearance that is virtually flawless to the naked eye."
OV-88231,Oval,2.03,F,VS1,Very Good,34200,"The Meridian Oval",GIA,"An elegant elongated oval cut that maximizes carat weight while flattering the hand. Excellent brilliance across the pavilion with a bright, even light return and no visible bow-tie effect."
EM-55019,Emerald,1.84,G,VS2,Excellent,21950,"The Belmore Emerald Cut",GIA,"A step-cut emerald diamond prized for its hall-of-mirrors clarity and understated, architectural elegance. The open table showcases exceptional transparency and a cool, icy brilliance."
CU-30772,Cushion,3.12,E,VVS2,Excellent,58900,"The Rosalind Cushion",GIA,"A showstopping cushion-cut diamond combining a soft, romantic silhouette with dramatic scale. Superior light performance and a near-colorless grade make this a rare statement stone."
PS-91045,Pear,1.27,H,SI1,Very Good,9875,"The Hartley Pear",GIA,"A graceful pear-shaped diamond with a well-defined point and rounded end, ideal for a pendant or as an elegant complement to a two-stone design. Bright and lively face-up appearance."
STONE-01,Pending,1.00,PENDING,PENDING,PENDING,1,"PENDING — Stone 1 (awaiting real specs)",PENDING,
STONE-02,Pending,1.00,PENDING,PENDING,PENDING,1,"PENDING — Stone 2 (awaiting real specs)",PENDING,
STONE-03,Pending,1.00,PENDING,PENDING,PENDING,1,"PENDING — Stone 3 (awaiting real specs)",PENDING,
STONE-04,Pending,1.00,PENDING,PENDING,PENDING,1,"PENDING — Stone 4 (awaiting real specs)",PENDING,
STONE-05,Pending,1.00,PENDING,PENDING,PENDING,1,"PENDING — Stone 5 (awaiting real specs)",PENDING,
STONE-06,Pending,1.00,PENDING,PENDING,PENDING,1,"PENDING — Stone 6, video only, no photo yet",PENDING,
